Nominal Voltage(In Volts),Battery Current(in Amps),Extra Load(In Kgs),Electric vehicle(model),C-rating,No: of Charge cycles(weekly),Age of EV battery(in years),Driving Conditions,Type of Charging,Outside Temperature(in °C),Auxiliary Loads(in %),Reduced Range(in Kms),Output(Breakdown occurence)
345,207,203,Renault Zoe,1.38,5,3,Highway,DC Fast Charging,32,8,20,No
350,294.12,227,Mercedes - Benz EQC,1.29,3,1,Highway,Level 1,30,8,25,No
430,297.47,303,Tesla Model X,1.51,5,1,Hill Station,Level 1,24,18,45,Yes
380,215.65,242,Jaguar I-pace,0.95,4,1,City,DC Fast Charging,29,12,18,No
385,350,234,Tesla Model S,1.02,4,4,Hill Station,Level 1,30,19,20,No
350,60.96,242,Chevrolet Bolt,1.27,3,3,City,Level 1,35,14,23,No
199,193.98,222,MW Motors Luka EV,1.59,4,3,Hill Station,Level 2,33,8,20,No
292,135.68,236,Seat Mii Electric,1.28,2,2,City,Level 1,28,13,28,No
367,268.8,203,Nio EC6,1.4,1,4,Hill Station,Level 2,27,12,29,No
386,366.3,242,Nio ES6,1.65,1,3,Hill Station,Level 1,20,18,20,No
320,80,231,Tata Nexon,1,3,1,City,DC Fast Charging,39,17,25,No
100,22.1,233,Mahindra e20 (P8),0.85,5,3,Hill Road,DC Fast Charging,43,19,31,Yes
375,315.24,216,Kia Soul,1.48,2,3,Highway,Level 1,27,10,29,No
375,120,228,Tesla Model S,0.7,5,2,City Traffic,Level 1,35,15,21,No
375,272.64,206,Kia Soul,1.28,3,1,City,DC Fast Charging,26,18,16,No
304,161,213,Volkwagen e-Golf,1.75,5,4,Hill Road,DC Fast Charging,36,20,29,Yes
390,115.32,249,SoNo motors Sion,1.24,1,3,Hill Station,Level 1,23,13,28,No
422,257.04,241,Nio ES8,1.36,5,1,Hill Station,Level 2,26,16,23,No
100,22.1,239,Mahindra e20 (P8),0.85,4,1,Hill Station,Level 2,32,17,23,No
49,24.65,243,Mahindra e2o (P2),0.85,4,1,Hill Station,DC Fast Charging,31,19,17,No
52,40.56,218,Mahindra e20 (P4),1.56,5,3,City,Level 1,26,14,30,No
380,230,233,Audi e-tron 55,0.92,5,5,Hill Road,DC Fast Charging,40,15,25,Yes
380,183.87,245,Jaguar I-pace,0.81,6,4,Hill Road,DC Fast Charging,42,16,34,Yes
380,215,250,Audi e-tron 55,0.86,4,5,Hill Road,DC Fast Charging,42,20,28,Yes
345,123,212,Hyundai Kona,1,4,4,Highway,Level 2,39,7,17,No
55,100.58,243,Renault twizzy,0.94,3,3,Hill Station,DC Fast Charging,20,9,19,No
307,195.84,206,Ford Focus Electric,1.44,1,2,City,Level 2,24,5,17,No
392,325.05,238,Tesla Model X,1.65,2,1,Hill Station,Level 1,34,7,19,No
350,389.88,232,Mercedes - Benz EQC,1.71,6,5,Hill Road,DC Fast Charging,-12,15,32,Yes
350,115.62,208,BMW i3,1.23,2,3,Hill Station,Level 2,34,9,30,No
377,359.64,207,Nio ES6,1.62,2,3,Hill Station,Level 2,-4,8,19,No
423,334.53,213,Nio ES8,1.77,2,3,Highway,DC Fast Charging,33,12,18,No
320,124.08,223,Tata Nexon,1.32,3,2,City,DC Fast Charging,22,19,24,No
350,197.58,235,Nio ES6,0.89,3,2,Hill Station,Level 1,45,13,27,No
252,227.12,201,Ford Focus Electric,1.67,2,4,Hill Station,Level 1,33,16,30,No
363,346.32,213,Nio ES6,1.56,1,4,Hill Station,Level 2,33,18,18,No
52,28.6,203,Mahindra e20 (P4),1.1,1,3,Highway,Level 1,34,8,15,No
388,238.08,235,Nio EC6,1.24,5,2,City,Level 1,31,4,20,No
320,94.375,206,Tata Nexon,1,2,20,City,DC Fast Charging,35,17,24,No
210,126.88,214,MW Motors Luka EV,1.04,2,2,City,Level 2,21,18,18,No
360,120,234,BMW i3,0.8,2,1,highway,DC Fast Charging,15,5,29,No
316,218.96,213,Ford Focus Electric,1.61,3,3,City,Level 1,26,16,27,No
375,452,221,Tesla Model S,2,4,8,Highway,Level 2,20,7,28,No
273,220.32,247,Ford Focus Electric,1.62,4,2,City,DC Fast Charging,26,5,17,No
347,114.48,217,Seat Mii Electric,1.08,4,3,Hill Road,DC Fast Charging,45,19,35,Yes
400,246,304,Renault Zoe,1.64,4,1,City,Level 2,27,14,41,Yes
356,113.36,209,Hyundai Kona,1.04,1,3,Hill Station,Level 2,34,17,20,No
50,32.5,226,Mahindra e20 (P6),1.25,4,2,City,DC Fast Charging,35,17,28,No
